1	GENE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	1	322	334
179	Q0105	1156.072817	1.303561592	0.4414741	2.952747756	0.003149592	0.151250935	584.2507798	1540.722222	1343.245449
180	YBR170C	431.839144	-1.250190062	0.4798409	-2.605426028	0.009176009	0.296721683	704.0970936	338.4790199	252.941318
181	YOL155C	3708.219791	2.837836473	0.5375097	5.279600129	1.29E-07	9.10E-05	727.067637	3116.57771	7281.014025
182	YIL056W	1686.135442	1.380279431	0.4402623	3.135129785	0.001717781	0.099705095	814.9549338	1905.765418	2337.685975
183	YCL064C	378.2505662	-2.459478443	0.5503009	-4.469333998	7.85E-06	0.002195273	832.9318809	204.8012298	97.018588
184	YDR234W	1819.617858	1.404809938	0.5204752	2.699090837	0.00695292	0.250371405	866.8883365	1481.595507	3110.369729
185	YER164W	344.6375738	-5.866925799	0.6437742	-9.113328063	7.99E-20	2.57E-16	1000.71672	27.4210852	5.774916
186	YJR027W	2630.509153	1.7817277	0.5278834	3.375229479	0.000737542	0.058011624	1001.71544	2143.986096	4745.825925
187	YEL063C	641.3255927	-1.275124499	0.4556996	-2.798168841	0.005139324	0.20643014	1053.648842	473.0137189	397.314217
188	YGL228W	657.533458	-1.226753396	0.4488981	-2.732810658	0.006279642	0.239109447	1063.636035	451.5909962	457.373343
189	YAL061W	2221.492686	1.355036448	0.4334399	3.126238479	0.001770579	0.099705095	1089.602736	2567.299098	3007.576225
190	YBR245C	375.8040862	-11.15617305	1.4759949	-7.558408733	4.08E-14	8.75E-11	1126.55535	0.8569089	0
191	YGR260W	3676.125413	1.725680642	0.4976043	3.46797777	0.000524391	0.04752752	1448.142958	3294.814763	6285.418516
192	YNL142W	752.5040028	-1.942888739	0.4462219	-4.354086596	1.34E-05	0.00307094	1485.095572	395.8919169	376.52452
193	YDL014W	3690.05399	1.499904303	0.5526414	2.714064453	0.006646323	0.247220178	1662.867604	2656.417624	6750.876742
194	snR43	4646.600782	1.705677816	0.5509835	3.095696524	0.001963512	0.107077968	1852.624267	3422.494191	8664.683886
195	YHR137W	1143.427861	-1.602149087	0.451902	-3.545346664	0.000392097	0.040991412	2068.347632	776.3594735	585.576477
196	snR9	5245.2271	1.672611602	0.4819916	3.470209364	0.000520053	0.04752752	2133.264386	4916.943332	8685.473584
197	snR5	4536.739125	1.293965052	0.5005907	2.584876485	0.009741389	0.301887884	2305.044102	3827.812106	7477.361168
198	snR128	4070.304614	1.102692525	0.4241614	2.599700211	0.009330523	0.298515097	2306.042821	4772.125726	5132.745293
199	YDR380W	1523.097343	-1.611512308	0.4382301	-3.677320037	0.000235697	0.028087256	2761.458814	822.6325547	985.20066
200	YHR104W	2149.515	-1.659977175	0.5253051	-3.160024962	0.001577556	0.095769569	3949.934759	1715.53164	783.078602
201	YML130C	2422.840626	-1.652205879	0.4333081	-3.81300511	0.000137287	0.018796672	4442.303365	1540.722222	1285.49629
202	YMR011W	11462.3569	1.606165336	0.4399543	3.650755272	0.00026147	0.02951862	4850.779551	12501.4441	17034.84706
203	YBR169C	2898.967778	-1.484445297	0.5231052	-2.837756772	0.004543179	0.192337867	5072.495231	2486.74966	1137.658441
204	snR3	9587.180775	1.185793456	0.4374406	2.710753017	0.006713061	0.248267512	5182.354352	10113.23897	13465.949
205	YGR211W	3112.273951	-1.579925639	0.4609064	-3.427866535	0.000608344	0.052901305	5594.825416	2268.237888	1473.75855
206	YLL039C	3689.851962	-1.286082556	0.4489756	-2.864481774	0.004176922	0.181611436	6082.200425	2931.485385	2055.870077
207	YLR216C	4238.366714	-1.653969316	0.4961839	-3.333379636	0.000857978	0.064198692	7775.029608	3243.400229	1696.670305
208	YKR039W	6258.85867	-1.461299163	0.4466439	-3.271731874	0.001068909	0.078163968	10877.0517	4640.161754	3259.36256
209	YOR027W	6857.161845	-1.661700411	0.5152886	-3.224795482	0.001260627	0.085390886	12604.83605	5423.376498	2543.272983
210	YER103W	6188.721199	-3.496036574	0.6516634	-5.364788494	8.10E-08	6.52E-05	15771.7749	2263.096434	531.292267
	YPL106C	25137.4392	-1.214330256	0.4209864	-2.884488112	0.003920506	0.173989335	40502.06175	18432.11068	16478.14516
